run_number,nTrackPass,nAssociatedCluster,efficiency,efficiency_error,efficiency_lerr,efficiency_uerr,residuals_mean,residuals_errmean,residuals_sigma,residuals_errsigma,clusterSize_mean,clusterCharge_mean,seedCharge_mean,residuals_mean_mimosa0,residuals_errmean_mimosa0,residuals_sigma_mimosa0,residuals_errsigma_mimosa0,residuals_mean_mimosa1,residuals_errmean_mimosa1,residuals_sigma_mimosa1,residuals_errsigma_mimosa1,residuals_mean_mimosa2,residuals_errmean_mimosa2,residuals_sigma_mimosa2,residuals_errsigma_mimosa2,residuals_mean_mimosa3,residuals_errmean_mimosa3,residuals_sigma_mimosa3,residuals_errsigma_mimosa3,residuals_mean_mimosa4,residuals_errmean_mimosa4,residuals_sigma_mimosa4,residuals_errsigma_mimosa4,residuals_mean_mimosa5,residuals_errmean_mimosa5,residuals_sigma_mimosa5,residuals_errsigma_mimosa5,chip_id,frontend,geoid,threshold,hv_voltage,psub_voltage,temperature,type,elog_link_s_curve,elog_link_run,checked,by,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
1400,463633,401018,0.8649470594198428,0.00050334949757741,0.0005041390090134712,0.0005025599861413488,-0.5716383780581666,0.020665257394850957,12.315805756398914,0.016632471831385054,1.0675501445502602,6.466064616970802,6.162199202100837,-0.0003754837426056596,1.5642048506614775e-06,0.004129874388065469,1.6808688143470692e-06,0.0003329777023666948,1.483135373279449e-06,0.004028772874194743,1.544824951873764e-06,0.0004294282750426381,1.8880301591173393e-06,0.005698005261186622,1.7256308244549025e-06,-0.0007094487398286713,1.8207584840794536e-06,0.0051906525006813215,1.780462055379255e-06,-4.198450137958502e-05,1.534280545287837e-06,0.004119249505955002,1.633667366772863e-06,0.000357719686296253,1.3795005029738905e-06,0.0038296414119249537,1.3933974534296838e-06,W08R06,HVC,3,23.1,30,6,,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/17,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/32,,,,,,
1401,443426,382849,0.863388705218007,0.0005172045014421034,0.0005180264973109194,0.0005163825055732874,-0.08570045470469156,0.02131585770275163,12.337698600606407,0.017371114569502133,1.0534309364822045,6.4808251625326925,6.240366673498624,-0.00037005957371005765,1.6008941191251124e-06,0.004129164018753045,1.721203779557457e-06,0.0003280779984541845,1.518726816219926e-06,0.004028842902698067,1.5815415546588212e-06,0.00042100605561016207,1.934270270500268e-06,0.005699636409947785,1.7684468630191092e-06,-0.0006869716813761533,1.8683557468188782e-06,0.005195489480021352,1.8273481575285582e-06,-4.6565105193981413e-05,1.569531159980768e-06,0.004117636083286479,1.6696987062469809e-06,0.0003496516358527012,1.4113172989782945e-06,0.0038293004957362735,1.4262310672165856e-06,W08R06,HVC,3,23.1,30,6,,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/17,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/33,,,,,,
1402,419154,359441,0.8575392337899674,0.0005414074866429419,0.0005422631038024539,0.0005405518694834299,0.021446657147394993,0.02175503607229525,12.270705628209354,0.01738676670180972,1.0696374481835689,6.2971531971146,5.996208832457486,-0.00041321565053095114,1.5838048133126307e-06,0.004165068690589359,1.6205890321141286e-06,0.00034268564546937664,1.5578359863778021e-06,0.004025229846207562,1.6205012659594332e-06,0.0004691606769419974,1.9851885865277637e-06,0.005698006461554012,1.8151950380860052e-06,-0.0007221739662897177,1.9147973496550316e-06,0.005189851125265592,1.871989801329084e-06,-5.950798909550481e-05,1.612362683115036e-06,0.0041186136642373285,1.7153855420739671e-06,0.0003692807895911015,1.448380856579027e-06,0.0038267396891434107,1.4618567046518994e-06,W08R06,HVC,3,23.1,30,6,,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/17,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/34,,,,,,
1403,200552,112429,0.560597750209422,0.0011114659094582091,0.0011117690022892646,0.0011111628166271537,-0.4330560589424282,0.036754234960267654,11.418338720105663,0.031180891425441004,1.0326522941471366,6.458976363451799,6.301868007721363,-0.0004079601897024296,2.2849794244139823e-06,0.004160895087413553,2.3353120877120208e-06,0.00033734708501538036,2.255547802931756e-06,0.004030084816222432,2.351240196839244e-06,0.00046685870920744343,2.8699579146621825e-06,0.005698453511906834,2.623008404868156e-06,-0.0007135129668559298,2.7685512899941527e-06,0.005190133215554835,2.7059015029537578e-06,-6.28846548815111e-05,2.331052160736307e-06,0.004119048235998752,2.4811894626518716e-06,0.00036692435765536065,2.0970438257220063e-06,0.0038323230761300574,2.1195400126717027e-06,W08R06,HVC,3,23.4,6,6,,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/28,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/35,,,,,,
1404,197756,119605,0.6048109791864722,0.0011026102632722967,0.0011031419367018014,0.001102078589842792,0.23353966529670656,0.03600712654608561,11.567717592978129,0.03032830064806369,1.0294248784362137,6.509301860614696,6.369597386636329,-0.0004347390608991926,2.3076719413493246e-06,0.004161715388222881,2.356954960200776e-06,0.00034812602707176094,2.272236011247566e-06,0.004026195235522796,2.3631620726311583e-06,0.000493209537151289,2.8951925192164223e-06,0.005700360441110774,2.645542260110308e-06,-0.0007274089230238268,2.7952650992096583e-06,0.005195015529980914,2.735394273216526e-06,-6.8058723022895e-05,2.3489860105400713e-06,0.004116937044422004,2.499879570869363e-06,0.00037373891404403375,2.116288439289723e-06,0.0038317220480537416,2.1385489230689447e-06,W08R06,HVC,3,,8,6,,hv_scan,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/36,,,,,,
1405,198610,128595,0.6474749509088162,0.0010752304983496774,0.0010759754119654685,0.0010744855847338863,0.3858667733149538,0.034995015992489824,11.653338548475455,0.02899598390705993,1.0272452533146852,6.661289257011529,6.528767917573014,-0.00042830308236435166,2.2993725891839382e-06,0.004164098074435104,2.351131584512863e-06,0.0003431149064782034,2.2648804505085693e-06,0.004028947596316586,2.3575594926044047e-06,0.0004969880378897716,2.8830972974623354e-06,0.005699823067306202,2.636238934508985e-06,-0.0007312142328188467,2.781568716842342e-06,0.005192105589044845,2.721744662542583e-06,-7.07950324550902e-05,2.3397591043609677e-06,0.00411723272773702,2.489458805408863e-06,0.00037923572995027477,2.106898299731002e-06,0.003831342754222919,2.127616376228691e-06,W08R06,HVC,3,23.2,10,6,,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/27,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/37,,,,,,
1406,197669,135769,0.6868502395418604,0.0010463250623325981,0.0010472734306498088,0.0010453766940153875,0.05052521717308062,0.0347206064118656,11.808000448230567,0.0292695266457228,1.0284295905603988,6.713906339637699,6.575441935906945,-0.0004175491398412866,2.3112439640677027e-06,0.004164446858510784,2.3634876420383123e-06,0.0003253638324655465,2.2762555757218567e-06,0.004030383960279198,2.3702964520730873e-06,0.0005022357298098985,2.896413013066876e-06,0.005697402997625071,2.6448737164353527e-06,-0.00073560570087538,2.7949985596051317e-06,0.005191553233398177,2.7343204655170834e-06,-7.272475163434553e-05,2.352722260262182e-06,0.00411818978541746,2.503551511328088e-06,0.00038134258744766604,2.117608496149329e-06,0.003830661327250501,2.1402921489216756e-06,W08R06,HVC,3,,12,6,,hv_scan,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/38,,,,,,
1408,204512,151371,0.7401570567986231,0.0009728113677066608,0.0009739896251044211,0.0009716331103089004,-0.48304479721684734,0.03338052280002016,12.018727204637948,0.027995028088781737,1.0412212999494794,6.829117867147792,6.619031797959479,-0.0003133580818791764,2.3519354445124394e-06,0.00412928134215526,2.530083942809563e-06,0.00029037618856563854,2.2332459543172927e-06,0.004030226035359548,2.328157733156623e-06,0.0003390572880857453,2.847776132386096e-06,0.0056991047221750385,2.6026061504795138e-06,-0.0005596590505813131,2.799765876756273e-06,0.005173203142094885,2.851063629948536e-06,-5.482798580623342e-05,2.3096481268243555e-06,0.004119213213794142,2.4587555343839667e-06,0.00029695882000541193,2.0718156009275215e-06,0.0038287072347619622,2.094937517228791e-06,W08R06,HVC,3,,14,6,,hv_scan,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/40,,,,,,
1409,201305,151698,0.7535729365887583,0.0009635590223344703,0.0009648230020909976,0.0009622950425779431,0.10355018224733314,0.03327052266912572,11.994281458389157,0.02773551265260732,1.0531460146640184,6.698996947213255,6.442553858851671,-0.0003450508225134762,2.368011428859696e-06,0.004127838940555674,2.5453262993226956e-06,0.0002958937121607931,2.2467202655419437e-06,0.004028199961140751,2.3425234787594843e-06,0.0004066971233385901,2.8631305855743773e-06,0.005696187294164403,2.6166844160899812e-06,-0.0006308734255435179,2.7667209965574545e-06,0.005193601861330533,2.7053527935821985e-06,-6.182544979419859e-05,2.323718136109872e-06,0.00411740801310564,2.4733835487199263e-06,0.0003290677031442538,2.088632003978948e-06,0.003829595139645786,2.1105314519263493e-06,W08R06,HVC,3,,16,6,,hv_scan,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/41,,,,,,
1410,197630,152608,0.7721904569144361,0.0009465899716736281,0.0009479721152064746,0.0009452078281407816,0.16232075989364161,0.03281457357944784,12.051060247386602,0.02660365377781737,1.0887400568192818,6.431589213163676,6.027421614091925,-0.00042663907512635016,2.304599199138245e-06,0.004163683064848188,2.3572770933858117e-06,0.00032463030269553114,2.2680820145428953e-06,0.004028443178400368,2.363481182733867e-06,0.0005183668768106517,2.8894044905911246e-06,0.005699281801064926,2.6412353651701203e-06,-0.0007365759288230375,2.7860111163312252e-06,0.005190238831044955,2.723417554439749e-06,-8.158596893965522e-05,2.3430556704021145e-06,0.004115316801241828,2.4927127101300513e-06,0.0003886488721955747,2.109003772515427e-06,0.0038273734208541113,2.129472362523031e-06,W08R06,HVC,3,,18,6,,hv_scan,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/43,,,,,,
