,run_number,chip_id,frontend,geoid,threshold,hv_voltage,psub_voltage,temperature,type,elog_link_s_curve,elog_link_run,checked,by,tdac_used
31,1440,W08R06,HVC,3,42.2,25,6,45,temp_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/96,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/97,,,True
32,1441,W08R06,HVC,3,18,30,0,0,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/98,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/99,,,True
33,1442,W08R06,HVC,3,18,30,0,0,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/98,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/101,,,True
34,1443,W08R06,HVC,3,18,30,0,0,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/98,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/102,,,True
35,1444,W08R06,HVC,3,18,30,0,0,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/98,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/103,,,True
36,1445,W08R06,HVC,3,18,30,0,0,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/98,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/104,,,True
37,1446,W08R06,HVC,3,18,30,0,0,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/100,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/105,,,True
38,1447,W08R06,HVC,3,21.5,30,0,35.15,,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/108,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/109,,,True
39,1448,W08R06,HVC,3,18.6,30,0,35,temp_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/108,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/110,,,True
40,1449,W08R06,HVC,3,18.1,30,0,35,temp_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/108,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/111,,,True
41,1450,W08R06,HVC,3,24,30,0,40,temp_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/113,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/114,,,True
42,1451,W08R06,HVC,3,18.7,30,0,40,temp_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/113,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/115,,,True
43,1452,W08R06,HVC,3,31.6,30,0,45,temp_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/117,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/119,,,True
44,1454,W08R06,HVC,3,24.4,30,0,45.09,temp_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/120,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/121,,,True
45,1455,W08R06,HVC,3,17.5,30,0,0,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/126,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/122,,,True
46,1456,W08R06,HVC,3,18.2,20,0,0,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/126,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/123,,,True
47,1457,W08R06,HVC,3,20.2,10,0,0,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/126,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/124,,,True
48,1458,W08R06,HVC,3,21.8,6,0,0,hv_scan,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/126,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/125,,,True
49,1459,W08R06,HVC,3,18.6,30,0,0,0,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/127,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/128,,,True
50,1480,W08R06,DCC,5,31.9,0,6,32.27,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/148,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/153,,,True
51,1481,W08R06,DCC,5,26.4,0,6,30.105,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/154,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/155,,,True
52,1482,W08R06,DCC,5,30.6,0,20,0,statistic,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/159,https://elog.belle2.org/elog/VTX+Upgrade+Testbeam+2024/158,,,True
